NO,FORMULA,COMPOUND NAME,MOLWT,TFP,TBP,TC,PC,VC,LDEN,TDEN,HVAP,VISA,VISB,DELHF,DELGF,CPVAPA,CPVAPB,CPVAPC,CPVAPD,ANTA,ANTB,ANTC,TMN,TMX,,title
1,Ar,ARGON,39.948,-189.9,-185.9,150.8,48.7,0.075,1373,-183,6531,107.57,58.76,,,20.804,-3.21E-05,5.17E-08,,15.233,700.51,-5.84,-192,-179,,"Ar, ARGON"
2,BCl3,BORON TRICHLORIDE,117.169,-107.3,12.5,452,38.7,,1350,11,,,,,,,,,,,,,,,,"BCl3, BORON TRICHLORIDE"
3,BF3,BORON TRIFLUORIDE,67.805,-126.7,-99.9,260.8,49.9,,,,,,,,,,,,,,,,,,,"BF3, BORON TRIFLUORIDE"
4,Br2,BROMINE,159.808,-7.2,58.7,584,103.4,0.127,3119,20,30187,387.82,292.79,,,33.859,1.13E-02,-1.19E-05,4.53E-09,15.8441,2582.32,-51.56,-14,81,,"Br2, BROMINE"
5,ClNO,NITROSYL CHLORIDE,65.459,-59.7,-5.5,440,91.2,0.139,1420,-12,25707,,,52.63,66.99,34.097,4.47E-02,-3.34E-05,1.01E-08,16.9505,2520.7,-23.46,-63,12,,"ClNO, NITROSYL CHLORIDE"
6,Cl2,CHLORINE,70.906,-101,-34.5,417,77,0.124,1563,-34,20432,191.96,172.35,,,26.929,3.38E-02,-3.87E-05,1.55E-08,15.961,1978.32,-27.01,-101,-9,,"Cl2, CHLORINE"
7,Cl3P,PROSPHORUS TRICHLORIDE,137.333,-112.2,75.8,563,,0.26,1574,21,,,,,,,,,,,,,,,,"Cl3P, PROSPHORUS TRICHLORIDE"
8,Cl4Si,SILICON TETRACHLORIDE,169.898,-68.9,57.2,507,37.5,0.326,1480,20,27549,,,,,,,,,15.8019,2634.16,-43.15,-35,91,,"Cl4Si, SILICON TETRACHLORIDE"
9,D2,DEUTERIUM,4.032,-254.5,-249.5,38.4,16.6,0.06,165,-250,1223,19.67,8.38,,,30.25,-6.41E-03,1.17E-05,-3.68E-09,13.2954,157.89,,-254,-248,,"D2, DEUTERIUM"
10,D2O,DEUTERIUM OXIDE,20.031,3.8,101.4,644,216.6,0.056,1105,20,41366,757.92,304.58,-249.41,-234.8,,,,,,,,,,,"D2O, DEUTERIUM OXIDE"
11,F2,FLUORINE,37.997,-219.7,-188.2,144.3,52.2,0.066,1510,-188,6531,84.2,52.52,,,23.216,3.66E-02,-3.46E-05,1.20E-08,15.67,714.1,-6,-214,-182,,"F2, FLUORINE"
12,F3N,NITROGEN TRIFLUORIDE,71.002,-206.8,-129.1,234,45.3,,1537,-129,,,,-124.68,-127.19,,,,,15.6107,1155.69,-15.37,-170,-118,,"F3N, NITROGEN TRIFLUORIDE"
13,F4Si,SILICON TETRAFLUORIDE,104.08,-90.2,-86.2,259,37.2,,1660,-95,,,,,,,,,,,,,,,,"F4Si, SILICON TETRAFLUORIDE"
14,F6S,SULPHUR HEXAFLUORIDE,146.05,-50.7,-63.9,318.7,37.6,0.198,1830,-50,,251.29,180.75,-1221.71,-1117.88,,,,,19.3785,2524.78,-11.16,-114,-53,,"F6S, SULPHUR HEXAFLUORIDE"
15,HBr,HYDROGEN BROMIDE,80.912,-86.1,-67.1,363.2,85.5,0.1,2160,-57,17668,88.08,166.32,-36.26,-53.3,30.647,-9.46E-03,-1.72E-05,-6.24E-09,14.4687,1242.53,-47.86,-89,-52,,"HBr, HYDROGEN BROMIDE"
16,HCl,HYDROGEN CHLORIDE,36.461,-114.2,-85.1,324.6,83.1,0.081,1193,-85,16161,372.78,277.74,-92.36,-95.33,30.291,-7.20E-03,1.25E-05,-3.90E-09,16.504,1714.25,-14.45,-136,-73,,"HCl, HYDROGEN CHLORIDE"
17,HF,HYDROGEN FLUORIDE,20.006,-83.2,19.5,461,64.8,0.069,967,20,6699,438.74,199.62,-271.3,-273.4,29.061,6.61E-04,-2.03E-06,2.50E-09,17.6958,3404.49,15.06,-67,40,,"HF, HYDROGEN FLUORIDE"
18,H1,HYDROGEN IODIDE,127.912,-50.8,-35.6,424,83.1,0.131,2803,-36,19778,155.15,285.43,26.38,1.59,31.158,-1.43E-02,2.97E-05,-1.35E-08,12.9149,957.96,-85.06,-58,-17,,"H1, HYDROGEN IODIDE"
19,H2,HYDROGEN,2.016,-259.2,-252.8,33.2,13,0.065,71,-253,904,13.82,5.39,,,27.143,9.27E-03,-1.38E-05,7.65E-09,13.6333,164.9,3.19,-259,-248,,"H2, HYDROGEN"
